"country","adm1_pcode","adm1_name","population","population_year","source_file","source_variable"
"Kenya","KE024","West Pokot",706000,2025,"Kenya/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"Somalia","SO11","Awdal",636160,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO25","Bakool",543330,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO22","Banadir",3171400,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO16","Bari",1232240,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO24","Bay",1247980,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO19","Galgaduud",812640,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO26","Gedo",975550,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO20","Hiraan",504830,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO28","Lower Juba",1158240,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO23","Lower Shabelle",1593130,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO27","Middle Juba",430090,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO21","Middle Shabelle",1013360,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO18","Mudug",1470320,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO17","Nugaal",631810,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO15","Sanaag",428690,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO14","Sool",548970,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO13","Togdheer",860720,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"Somalia","SO12","Woqooyi Galbeed",1447462,,"Somalia/for_global_SEPI/SOMALIA_SEPI_Indicators.csv","population_total"
"South Sudan","SS00","Abyei Region",,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"South Sudan","SS01","Central Equatoria",1595000,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"South Sudan","SS02","Eastern Equatoria",1161000,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"South Sudan","SS03","Jonglei",2096000,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"South Sudan","SS04","Lakes",1248000,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"South Sudan","SS05","Northern Bahr el Ghazal",966000,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"South Sudan","SS06","Unity",1159000,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"South Sudan","SS07","Upper Nile",1575000,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"South Sudan","SS08","Warrap",1336000,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"South Sudan","SS09","Western Bahr el Ghazal",684000,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
"South Sudan","SS10","Western Equatoria",996000,2021,"SSD/data/outputs/combined_adm1_latest_cross_sectional.csv","population_total"
